x y z nx ny nz
-0.276767 -0.634147 -0.168678 0.000479 -0.011339 0.999936
-0.271732 -0.634188 -0.168681 0.000479 -0.011339 0.999936
-0.266696 -0.634230 -0.168684 0.000479 -0.011339 0.999936
-0.261661 -0.634271 -0.168687 0.000479 -0.011339 0.999936
-0.256626 -0.634312 -0.168690 0.000479 -0.011339 0.999936
-0.251590 -0.634353 -0.168693 0.000479 -0.011339 0.999936
-0.246555 -0.634395 -0.168695 0.000479 -0.011339 0.999936
-0.241519 -0.634436 -0.168698 0.000479 -0.011339 0.999936
-0.236484 -0.634477 -0.168701 0.000479 -0.011339 0.999936
-0.231449 -0.634519 -0.168704 0.000479 -0.011339 0.999936
-0.226413 -0.634560 -0.168707 0.000479 -0.011339 0.999936
-0.221378 -0.634601 -0.168710 0.000479 -0.011339 0.999936
-0.216343 -0.634643 -0.168713 0.000479 -0.011339 0.999936
-0.211307 -0.634684 -0.168716 0.000479 -0.011339 0.999936
-0.206272 -0.634725 -0.168718 0.000479 -0.011339 0.999936
-0.201237 -0.634767 -0.168721 0.000479 -0.011339 0.999936
-0.196201 -0.634808 -0.168724 0.000479 -0.011339 0.999936
-0.191166 -0.634849 -0.168727 0.000479 -0.011339 0.999936
-0.186130 -0.634890 -0.168730 0.000479 -0.011339 0.999936
-0.181095 -0.634932 -0.168733 0.000479 -0.011339 0.999936
-0.176060 -0.634973 -0.168736 0.000479 -0.011339 0.999936
-0.171024 -0.635014 -0.168739 0.000479 -0.011339 0.999936
-0.165989 -0.635056 -0.168741 0.000479 -0.011339 0.999936
-0.160954 -0.635097 -0.168744 0.000479 -0.011339 0.999936
-0.155918 -0.635138 -0.168747 0.000479 -0.011339 0.999936
-0.150883 -0.635180 -0.168750 0.000479 -0.011339 0.999936
-0.145847 -0.635221 -0.168753 0.000479 -0.011339 0.999936
-0.140812 -0.635262 -0.168756 0.000479 -0.011339 0.999936
-0.135777 -0.635303 -0.168759 0.000479 -0.011339 0.999936
-0.130741 -0.635345 -0.168762 0.000479 -0.011339 0.999936
-0.125706 -0.635386 -0.168765 0.000479 -0.011339 0.999936
-0.120671 -0.635427 -0.168767 0.000479 -0.011339 0.999936
-0.115635 -0.635469 -0.168770 0.000479 -0.011339 0.999936
-0.110600 -0.635510 -0.168773 0.000479 -0.011339 0.999936
-0.105565 -0.635551 -0.168776 0.000479 -0.011339 0.999936
-0.100529 -0.635593 -0.168779 0.000479 -0.011339 0.999936
-0.095494 -0.635634 -0.168782 0.000479 -0.011339 0.999936
-0.090458 -0.635675 -0.168785 0.000479 -0.011339 0.999936
-0.085423 -0.635717 -0.168788 0.000479 -0.011339 0.999936
-0.080388 -0.635758 -0.168790 0.000479 -0.011339 0.999936
-0.075352 -0.635799 -0.168793 0.000479 -0.011339 0.999936
-0.070317 -0.635840 -0.168796 0.000479 -0.011339 0.999936
-0.065282 -0.635882 -0.168799 0.000479 -0.011339 0.999936
-0.060246 -0.635923 -0.168802 0.000479 -0.011339 0.999936
-0.055211 -0.635964 -0.168805 0.000479 -0.011339 0.999936
-0.050176 -0.636006 -0.168808 0.000479 -0.011339 0.999936
-0.045140 -0.636047 -0.168811 0.000479 -0.011339 0.999936
-0.040105 -0.636088 -0.168814 0.000479 -0.011339 0.999936
-0.035069 -0.636130 -0.168816 0.000479 -0.011339 0.999936
-0.030034 -0.636171 -0.168819 0.000479 -0.011339 0.999936
-0.024999 -0.636212 -0.168822 0.000479 -0.011339 0.999936
-0.019963 -0.636253 -0.168825 0.000479 -0.011339 0.999936
-0.014928 -0.636295 -0.168828 0.000479 -0.011339 0.999936
-0.009893 -0.636336 -0.168831 0.000479 -0.011339 0.999936
-0.004857 -0.636377 -0.168834 0.000479 -0.011339 0.999936
0.000178 -0.636419 -0.168837 0.000479 -0.011339 0.999936
0.005214 -0.636460 -0.168839 0.000479 -0.011339 0.999936
0.010249 -0.636501 -0.168842 0.000479 -0.011339 0.999936
0.015284 -0.636543 -0.168845 0.000479 -0.011339 0.999936
0.020320 -0.636584 -0.168848 0.000479 -0.011339 0.999936
0.025355 -0.636625 -0.168851 0.000479 -0.011339 0.999936
0.030390 -0.636667 -0.168854 0.000479 -0.011339 0.999936
0.035426 -0.636708 -0.168857 0.000479 -0.011339 0.999936
0.040461 -0.636749 -0.168860 0.000479 -0.011339 0.999936
0.045496 -0.636790 -0.168862 0.000479 -0.011339 0.999936
0.050532 -0.636832 -0.168865 0.000479 -0.011339 0.999936
0.055567 -0.636873 -0.168868 0.000479 -0.011339 0.999936
0.060603 -0.636914 -0.168871 0.000479 -0.011339 0.999936
0.065638 -0.636956 -0.168874 0.000479 -0.011339 0.999936
0.070673 -0.636997 -0.168877 0.000479 -0.011339 0.999936
0.075709 -0.637038 -0.168880 0.000479 -0.011339 0.999936
0.080744 -0.637080 -0.168883 0.000479 -0.011339 0.999936
0.085779 -0.637121 -0.168886 0.000479 -0.011339 0.999936
0.090815 -0.637162 -0.168888 0.000479 -0.011339 0.999936
0.095850 -0.637203 -0.168891 0.000479 -0.011339 0.999936
0.100885 -0.637245 -0.168894 0.000479 -0.011339 0.999936
0.105921 -0.637286 -0.168897 0.000479 -0.011339 0.999936
0.110956 -0.637327 -0.168900 0.000479 -0.011339 0.999936
0.115992 -0.637369 -0.168903 0.000479 -0.011339 0.999936
0.121027 -0.637410 -0.168906 0.000479 -0.011339 0.999936
0.126062 -0.637451 -0.168909 0.000479 -0.011339 0.999936
0.131098 -0.637493 -0.168911 0.000479 -0.011339 0.999936
0.136133 -0.637534 -0.168914 0.000479 -0.011339 0.999936
0.141168 -0.637575 -0.168917 0.000479 -0.011339 0.999936
0.146204 -0.637617 -0.168920 0.000479 -0.011339 0.999936
0.151239 -0.637658 -0.168923 0.000479 -0.011339 0.999936
0.156275 -0.637699 -0.168926 0.000479 -0.011339 0.999936
0.161310 -0.637740 -0.168929 0.000479 -0.011339 0.999936
0.166345 -0.637782 -0.168932 0.000479 -0.011339 0.999936
0.171381 -0.637823 -0.168934 0.000479 -0.011339 0.999936
0.176416 -0.637864 -0.168937 0.000479 -0.011339 0.999936
0.181451 -0.637906 -0.168940 0.000479 -0.011339 0.999936
0.186487 -0.637947 -0.168943 0.000479 -0.011339 0.999936
0.191522 -0.637988 -0.168946 0.000479 -0.011339 0.999936
0.196557 -0.638030 -0.168949 0.000479 -0.011339 0.999936
0.201593 -0.638071 -0.168952 0.000479 -0.011339 0.999936
0.212084 -0.623157 -0.168788 0.000479 -0.011339 0.999936
0.207074 -0.623116 -0.168785 0.000479 -0.011339 0.999936
0.202064 -0.623075 -0.168782 0.000479 -0.011339 0.999936
0.197054 -0.623034 -0.168779 0.000479 -0.011339 0.999936
0.192045 -0.622993 -0.168776 0.000479 -0.011339 0.999936
0.187035 -0.622952 -0.168773 0.000479 -0.011339 0.999936
0.182025 -0.622911 -0.168770 0.000479 -0.011339 0.999936
0.177015 -0.622870 -0.168768 0.000479 -0.011339 0.999936
0.172005 -0.622829 -0.168765 0.000479 -0.011339 0.999936
0.166995 -0.622788 -0.168762 0.000479 -0.011339 0.999936
0.161985 -0.622746 -0.168759 0.000479 -0.011339 0.999936
0.156976 -0.622705 -0.168756 0.000479 -0.011339 0.999936
0.151966 -0.622664 -0.168753 0.000479 -0.011339 0.999936
0.146956 -0.622623 -0.168750 0.000479 -0.011339 0.999936
0.141946 -0.622582 -0.168748 0.000479 -0.011339 0.999936
0.136936 -0.622541 -0.168745 0.000479 -0.011339 0.999936
0.131926 -0.622500 -0.168742 0.000479 -0.011339 0.999936
0.126916 -0.622459 -0.168739 0.000479 -0.011339 0.999936
0.121907 -0.622418 -0.168736 0.000479 -0.011339 0.999936
0.116897 -0.622377 -0.168733 0.000479 -0.011339 0.999936
0.111887 -0.622335 -0.168730 0.000479 -0.011339 0.999936
0.106877 -0.622294 -0.168727 0.000479 -0.011339 0.999936
0.101867 -0.622253 -0.168725 0.000479 -0.011339 0.999936
0.096857 -0.622212 -0.168722 0.000479 -0.011339 0.999936
0.091847 -0.622171 -0.168719 0.000479 -0.011339 0.999936
0.086838 -0.622130 -0.168716 0.000479 -0.011339 0.999936
0.081828 -0.622089 -0.168713 0.000479 -0.011339 0.999936
0.076818 -0.622048 -0.168710 0.000479 -0.011339 0.999936
0.071808 -0.622007 -0.168707 0.000479 -0.011339 0.999936
0.066798 -0.621966 -0.168705 0.000479 -0.011339 0.999936
0.061788 -0.621925 -0.168702 0.000479 -0.011339 0.999936
0.056778 -0.621883 -0.168699 0.000479 -0.011339 0.999936
0.051769 -0.621842 -0.168696 0.000479 -0.011339 0.999936
0.046759 -0.621801 -0.168693 0.000479 -0.011339 0.999936
0.041749 -0.621760 -0.168690 0.000479 -0.011339 0.999936
0.036739 -0.621719 -0.168687 0.000479 -0.011339 0.999936
0.031729 -0.621678 -0.168685 0.000479 -0.011339 0.999936
0.026719 -0.621637 -0.168682 0.000479 -0.011339 0.999936
0.021709 -0.621596 -0.168679 0.000479 -0.011339 0.999936
0.016699 -0.621555 -0.168676 0.000479 -0.011339 0.999936
0.011690 -0.621514 -0.168673 0.000479 -0.011339 0.999936
0.006680 -0.621472 -0.168670 0.000479 -0.011339 0.999936
0.001670 -0.621431 -0.168667 0.000479 -0.011339 0.999936
-0.003340 -0.621390 -0.168664 0.000479 -0.011339 0.999936
-0.008350 -0.621349 -0.168662 0.000479 -0.011339 0.999936
