x y z nx ny nz
0.281703 -0.449312 -0.072704 -0.802688 -0.238482 0.546642
0.280075 -0.444872 -0.072704 -0.780098 -0.296273 0.551062
0.277937 -0.440324 -0.072704 -0.753872 -0.349627 0.556272
0.274988 -0.435366 -0.072704 -0.684075 -0.464702 0.562221
0.271594 -0.430133 -0.072704 -0.629227 -0.535794 0.563026
0.267886 -0.425551 -0.072704 -0.550740 -0.622718 0.555794
0.264305 -0.422100 -0.072704 -0.482917 -0.679153 0.552758
0.259747 -0.419487 -0.072704 -0.423188 -0.724396 0.544208
0.254269 -0.417018 -0.072704 -0.353960 -0.766821 0.535442
0.248081 -0.414755 -0.072704 -0.232617 -0.827294 0.511345
0.242211 -0.413021 -0.072704 -0.191730 -0.841834 0.504535
0.236774 -0.412067 -0.072704 -0.154751 -0.850912 0.501997
0.231269 -0.411388 -0.072704 -0.126396 -0.857312 0.499040
0.225369 -0.410742 -0.072704 -0.102613 -0.860630 0.498785
0.218913 -0.410387 -0.072704 -0.090880 -0.863564 0.495982
0.211405 -0.410135 -0.072704 -0.064806 -0.866419 0.495095
0.202165 -0.409959 -0.072704 -0.039331 -0.864876 0.500442
0.191882 -0.409251 -0.072704 -0.021732 -0.865425 0.500567
0.182469 -0.408584 -0.072704 -0.023028 -0.866392 0.498834
0.175830 -0.407948 -0.072704 -0.033036 -0.866848 0.497477
0.171388 -0.407758 -0.072704 -0.041427 -0.867265 0.496120
0.167980 -0.407568 -0.072704 -0.047705 -0.867322 0.495455
0.164429 -0.407323 -0.072704 -0.048525 -0.866490 0.496830
0.160284 -0.406943 -0.072704 -0.050097 -0.865245 0.498841
0.155684 -0.406650 -0.072704 -0.046692 -0.862261 0.504308
0.150900 -0.406426 -0.072704 -0.035483 -0.859770 0.509447
0.146157 -0.406486 -0.072704 -0.020820 -0.857543 0.513991
0.141378 -0.406498 -0.072704 -0.006427 -0.854808 0.518905
0.136411 -0.406741 -0.072704 0.008294 -0.851985 0.523500
0.131971 -0.406674 -0.072704 0.009672 -0.850416 0.526023
0.127781 -0.406604 -0.072704 0.008807 -0.850689 0.525595
0.123574 -0.406261 -0.072704 0.003396 -0.849965 0.526829
0.118288 -0.406170 -0.072704 -0.014605 -0.852819 0.522003
0.112471 -0.406032 -0.072704 -0.027751 -0.856140 0.515999
0.106657 -0.405838 -0.072704 -0.043011 -0.862651 0.503968
0.101114 -0.405549 -0.072704 -0.047757 -0.867763 0.494678
0.095319 -0.405418 -0.072704 -0.043735 -0.872611 0.486453
0.088958 -0.405491 -0.072704 -0.021726 -0.875042 0.483560
0.082568 -0.405510 -0.072704 0.007016 -0.874252 0.485423
0.076672 -0.405276 -0.072704 0.024789 -0.872337 0.488276
0.071318 -0.404875 -0.072704 0.042094 -0.867686 0.495327
0.066867 -0.404709 -0.072704 0.049982 -0.865678 0.498100
0.062703 -0.405008 -0.072704 0.056023 -0.861015 0.505485
0.058627 -0.405830 -0.072704 0.058315 -0.859973 0.506997
0.053373 -0.406638 -0.072704 0.060043 -0.858773 0.508825
0.047631 -0.407340 -0.072704 0.057948 -0.858802 0.509020
0.041782 -0.407668 -0.072704 0.052280 -0.860043 0.507535
0.036306 -0.407798 -0.072704 0.041694 -0.861866 0.505419
0.030459 -0.407928 -0.072704 0.026858 -0.866857 0.497833
0.023699 -0.408087 -0.072704 0.009398 -0.867651 0.497085
0.016099 -0.408251 -0.072704 -0.000239 -0.870446 0.492264
0.007696 -0.408096 -0.072704 -0.010086 -0.873675 0.486406
-0.000957 -0.407817 -0.072704 -0.018886 -0.874504 0.484650
